path,emotion,source
neutral\Actor_01_03-01-01-01-01-01-01.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-01-01-01-01-01.wav
neutral\Actor_01_03-01-01-01-01-02-01.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-01-01-01-02-01.wav
neutral\Actor_01_03-01-01-01-02-01-01.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-01-01-02-01-01.wav
neutral\Actor_01_03-01-01-01-02-02-01.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-01-01-02-02-01.wav
happy\Actor_01_03-01-03-01-01-01-01.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-03-01-01-01-01.wav
happy\Actor_01_03-01-03-01-01-02-01.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-03-01-01-02-01.wav
happy\Actor_01_03-01-03-01-02-01-01.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-03-01-02-01-01.wav
happy\Actor_01_03-01-03-01-02-02-01.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-03-01-02-02-01.wav
happy\Actor_01_03-01-03-02-01-01-01.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-03-02-01-01-01.wav
happy\Actor_01_03-01-03-02-01-02-01.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-03-02-01-02-01.wav
happy\Actor_01_03-01-03-02-02-01-01.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-03-02-02-01-01.wav
happy\Actor_01_03-01-03-02-02-02-01.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-03-02-02-02-01.wav
sad\Actor_01_03-01-04-01-01-01-01.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-04-01-01-01-01.wav
sad\Actor_01_03-01-04-01-01-02-01.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-04-01-01-02-01.wav
sad\Actor_01_03-01-04-01-02-01-01.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-04-01-02-01-01.wav
sad\Actor_01_03-01-04-01-02-02-01.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-04-01-02-02-01.wav
sad\Actor_01_03-01-04-02-01-01-01.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-04-02-01-01-01.wav
sad\Actor_01_03-01-04-02-01-02-01.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-04-02-01-02-01.wav
sad\Actor_01_03-01-04-02-02-01-01.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-04-02-02-01-01.wav
sad\Actor_01_03-01-04-02-02-02-01.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-04-02-02-02-01.wav
angry\Actor_01_03-01-05-01-01-01-01.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-05-01-01-01-01.wav
angry\Actor_01_03-01-05-01-01-02-01.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-05-01-01-02-01.wav
angry\Actor_01_03-01-05-01-02-01-01.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-05-01-02-01-01.wav
angry\Actor_01_03-01-05-01-02-02-01.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-05-01-02-02-01.wav
angry\Actor_01_03-01-05-02-01-01-01.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-05-02-01-01-01.wav
angry\Actor_01_03-01-05-02-01-02-01.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-05-02-01-02-01.wav
angry\Actor_01_03-01-05-02-02-01-01.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-05-02-02-01-01.wav
angry\Actor_01_03-01-05-02-02-02-01.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-05-02-02-02-01.wav
fearful\Actor_01_03-01-06-01-01-01-01.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-06-01-01-01-01.wav
fearful\Actor_01_03-01-06-01-01-02-01.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-06-01-01-02-01.wav
fearful\Actor_01_03-01-06-01-02-01-01.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-06-01-02-01-01.wav
fearful\Actor_01_03-01-06-01-02-02-01.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-06-01-02-02-01.wav
fearful\Actor_01_03-01-06-02-01-01-01.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-06-02-01-01-01.wav
fearful\Actor_01_03-01-06-02-01-02-01.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-06-02-01-02-01.wav
fearful\Actor_01_03-01-06-02-02-01-01.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-06-02-02-01-01.wav
fearful\Actor_01_03-01-06-02-02-02-01.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-06-02-02-02-01.wav
surprised\Actor_01_03-01-08-01-01-01-01.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-08-01-01-01-01.wav
surprised\Actor_01_03-01-08-01-01-02-01.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-08-01-01-02-01.wav
surprised\Actor_01_03-01-08-01-02-01-01.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-08-01-02-01-01.wav
surprised\Actor_01_03-01-08-01-02-02-01.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-08-01-02-02-01.wav
surprised\Actor_01_03-01-08-02-01-01-01.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-08-02-01-01-01.wav
surprised\Actor_01_03-01-08-02-01-02-01.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-08-02-01-02-01.wav
surprised\Actor_01_03-01-08-02-02-01-01.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-08-02-02-01-01.wav
surprised\Actor_01_03-01-08-02-02-02-01.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_01\03-01-08-02-02-02-01.wav
neutral\Actor_02_03-01-01-01-01-01-02.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-01-01-01-01-02.wav
neutral\Actor_02_03-01-01-01-01-02-02.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-01-01-01-02-02.wav
neutral\Actor_02_03-01-01-01-02-01-02.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-01-01-02-01-02.wav
neutral\Actor_02_03-01-01-01-02-02-02.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-01-01-02-02-02.wav
happy\Actor_02_03-01-03-01-01-01-02.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-03-01-01-01-02.wav
happy\Actor_02_03-01-03-01-01-02-02.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-03-01-01-02-02.wav
happy\Actor_02_03-01-03-01-02-01-02.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-03-01-02-01-02.wav
happy\Actor_02_03-01-03-01-02-02-02.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-03-01-02-02-02.wav
happy\Actor_02_03-01-03-02-01-01-02.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-03-02-01-01-02.wav
happy\Actor_02_03-01-03-02-01-02-02.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-03-02-01-02-02.wav
happy\Actor_02_03-01-03-02-02-01-02.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-03-02-02-01-02.wav
happy\Actor_02_03-01-03-02-02-02-02.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-03-02-02-02-02.wav
sad\Actor_02_03-01-04-01-01-01-02.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-04-01-01-01-02.wav
sad\Actor_02_03-01-04-01-01-02-02.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-04-01-01-02-02.wav
sad\Actor_02_03-01-04-01-02-01-02.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-04-01-02-01-02.wav
sad\Actor_02_03-01-04-01-02-02-02.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-04-01-02-02-02.wav
sad\Actor_02_03-01-04-02-01-01-02.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-04-02-01-01-02.wav
sad\Actor_02_03-01-04-02-01-02-02.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-04-02-01-02-02.wav
sad\Actor_02_03-01-04-02-02-01-02.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-04-02-02-01-02.wav
sad\Actor_02_03-01-04-02-02-02-02.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-04-02-02-02-02.wav
angry\Actor_02_03-01-05-01-01-01-02.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-05-01-01-01-02.wav
angry\Actor_02_03-01-05-01-01-02-02.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-05-01-01-02-02.wav
angry\Actor_02_03-01-05-01-02-01-02.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-05-01-02-01-02.wav
angry\Actor_02_03-01-05-01-02-02-02.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-05-01-02-02-02.wav
angry\Actor_02_03-01-05-02-01-01-02.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-05-02-01-01-02.wav
angry\Actor_02_03-01-05-02-01-02-02.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-05-02-01-02-02.wav
angry\Actor_02_03-01-05-02-02-01-02.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-05-02-02-01-02.wav
angry\Actor_02_03-01-05-02-02-02-02.wav,angry,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-05-02-02-02-02.wav
fearful\Actor_02_03-01-06-01-01-01-02.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-06-01-01-01-02.wav
fearful\Actor_02_03-01-06-01-01-02-02.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-06-01-01-02-02.wav
fearful\Actor_02_03-01-06-01-02-01-02.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-06-01-02-01-02.wav
fearful\Actor_02_03-01-06-01-02-02-02.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-06-01-02-02-02.wav
fearful\Actor_02_03-01-06-02-01-01-02.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-06-02-01-01-02.wav
fearful\Actor_02_03-01-06-02-01-02-02.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-06-02-01-02-02.wav
fearful\Actor_02_03-01-06-02-02-01-02.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-06-02-02-01-02.wav
fearful\Actor_02_03-01-06-02-02-02-02.wav,fearful,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-06-02-02-02-02.wav
surprised\Actor_02_03-01-08-01-01-01-02.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-08-01-01-01-02.wav
surprised\Actor_02_03-01-08-01-01-02-02.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-08-01-01-02-02.wav
surprised\Actor_02_03-01-08-01-02-01-02.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-08-01-02-01-02.wav
surprised\Actor_02_03-01-08-01-02-02-02.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-08-01-02-02-02.wav
surprised\Actor_02_03-01-08-02-01-01-02.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-08-02-01-01-02.wav
surprised\Actor_02_03-01-08-02-01-02-02.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-08-02-01-02-02.wav
surprised\Actor_02_03-01-08-02-02-01-02.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-08-02-02-01-02.wav
surprised\Actor_02_03-01-08-02-02-02-02.wav,surprised,C:\Documents\hackathon\downloads\RAVDESS\Actor_02\03-01-08-02-02-02-02.wav
neutral\Actor_03_03-01-01-01-01-01-03.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-01-01-01-01-03.wav
neutral\Actor_03_03-01-01-01-01-02-03.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-01-01-01-02-03.wav
neutral\Actor_03_03-01-01-01-02-01-03.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-01-01-02-01-03.wav
neutral\Actor_03_03-01-01-01-02-02-03.wav,neutral,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-01-01-02-02-03.wav
happy\Actor_03_03-01-03-01-01-01-03.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-03-01-01-01-03.wav
happy\Actor_03_03-01-03-01-01-02-03.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-03-01-01-02-03.wav
happy\Actor_03_03-01-03-01-02-01-03.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-03-01-02-01-03.wav
happy\Actor_03_03-01-03-01-02-02-03.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-03-01-02-02-03.wav
happy\Actor_03_03-01-03-02-01-01-03.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-03-02-01-01-03.wav
happy\Actor_03_03-01-03-02-01-02-03.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-03-02-01-02-03.wav
happy\Actor_03_03-01-03-02-02-01-03.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-03-02-02-01-03.wav
happy\Actor_03_03-01-03-02-02-02-03.wav,happy,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-03-02-02-02-03.wav
sad\Actor_03_03-01-04-01-01-01-03.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-04-01-01-01-03.wav
sad\Actor_03_03-01-04-01-01-02-03.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-04-01-01-02-03.wav
sad\Actor_03_03-01-04-01-02-01-03.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-04-01-02-01-03.wav
sad\Actor_03_03-01-04-01-02-02-03.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-04-01-02-02-03.wav
sad\Actor_03_03-01-04-02-01-01-03.wav,sad,C:\Documents\hackathon\downloads\RAVDESS\Actor_03\03-01-04-02-01-01-03.wav
